Condition,Bonding PRE,Bonding POST,Bonding DIFF,Participant ID MV3,f0stab average,I consider myself a musician,I have been complimented for my talents as a musical performer,I know the song we sung,I like the song we sang,I sing regularly,How many years of formal musical training have you had in singing?,How many years of formal musical training have you had in musical instruments?,I have had training on the following musical instrument(s),"What is the ""Participant ID"" number listed on your consent form?",What is your gender? - Selected Choice,Correct Condition
S,62.4,40.8,-21.6,11,-3019.5905,3,3,100,48,2,0,8,"Guitar, piano",1,2,[S]inging first
S,40.4,54.4,14,12,-627.2835,5,2,96,7,92,0,0,Žádný ,2,1,[S]inging first
S,31.4,43.4,12,13,-1118.9331,73,82,100,100,31,0,7,Klarinet,3,2,[S]inging first
S,47.4,39.8,-7.6,14,-1690.5056,100,90,100,81,100,0,11,"Klavír, housle",4,1,[S]inging first
S,47.4,61.2,13.8,15,-2049.8674,90,83,87,30,100,0,13,"Klavír, varhany ",5,1,[S]inging first
S,47.8,42.6,-5.2,16,-1748.311,98,89,98,23,98,0,0,"Kytara, zobcová flétna",6,2,[S]inging first
S,47.8,33.4,-14.4,17,-1479.335,63,61,91,97,61,1.5,1.5,Klavír,7,1,[S]inging first
S,40.6,46.6,6,19,-1021.4693,60,100,100,100,100,0,8,Fletna,9,2,[S]inging first
S,36.6,49.6,13,20,-865.522,46,68,98,91,87,0,4.5,Klavír,10,1,[S]inging first
R,45.4,51.2,5.8,21,-1543.068,22,100,100,71,11,0,0,Ne,1,2,[R]ecitation first
R,39.6,18.8,-20.8,22,-816.9331,23,100,100,64,100,0.5,2,"zobcová flétna, klavír ",3,1,[R]ecitation first
R,52.4,53,0.6,23,-1374.2224,68,82,93,84,71,13,0,Ne,4,2,[R]ecitation first
R,50.2,26.4,-23.8,24,-888.1551,91,85,95,83,58,0,5,elektrická kytara,5,2,[R]ecitation first
R,48.6,69.6,21,25,-1100.8023,88,100,100,30,10,0,6,"Kytara, baskytara, perkusivní nástroje",6,2,[R]ecitation first
R,52.2,49.4,-2.8,26,-1554.2912,6,10,94,89,89,0,4,Housle,7,1,[R]ecitation first
R,28,45.2,17.2,27,-1300.5673,66,82,77,59,86,2,4,"Kytara, flétna, klávesy",9,1,[R]ecitation first
C,76.8,96,19.2,1,-723.1134,79,88,100,100,100,0,4,Klavír,3,1,[C]onversation first
C,61.8,90.8,29,2,-678.458,59,100,100,71,78,0,2,"fletna, kytara ",4,1,[C]onversation first
C,7.6,5,-2.6,3,-902.4069,12,40,0,0,46,0,6,gitara,5,1,[C]onversation first
C,50.4,62.4,12,4,-858.6823,59,46,67,65,88,0,0,None,6,2,[C]onversation first
C,62,67,5,5,-1518.2627,72,68,99,89,81,0,8,Kytara,7,2,[C]onversation first
C,61,69.4,8.4,6,-803.9098,62,56,100,91,69,3,5,"Piano, kytara",9,1,[C]onversation first
C,76.6,84,7.4,7,-1042.5587,77,90,100,78,96,0,14,"Klavír, housle, kytara ",10,1,[C]onversation first